channel_noise_sigma,trials,ubc_future_success,guarded_future_success,ubc_solver_failure_rate,guarded_solver_failure_rate,ubc_mean_norm_successful,guarded_mean_norm_successful
0.0,100.0,1.0,1.0,0.0,0.0,0.6365577573301272,0.6365577573301272
0.02,100.0,0.23,0.69,0.0,0.0,0.6616134082279522,0.5897338175473639
0.05,100.0,0.23,0.7,0.0,0.0,0.6777454020698849,0.6346412026120304
0.1,100.0,0.33,0.75,0.0,0.0,0.6502155322948603,0.7301069392059172
0.2,100.0,0.26,0.6,0.06,0.08,0.9264652779955767,0.9372955684881252
0.35,100.0,0.26,0.43,0.19,0.31,1.3573050056643223,1.3271119137028684
