cost,method,seed,trials,future_success,mean_norm,weighted_norm,false_certificate
comfort_weighted,euclidean_ubc,3.5,8.0,1.0,0.6033887105726309,0.8783856287789016,0.0
comfort_weighted,matching_weighted_ubc,3.5,8.0,1.0,0.6249075950839271,0.8483204485623662,0.0
comfort_weighted,wrong_cost_ubc,3.5,8.0,1.0,0.624383288845676,0.9602711604351495,0.0
force_anisotropic,euclidean_ubc,3.5,8.0,1.0,0.5925116102266811,0.8946117695272933,0.0
force_anisotropic,matching_weighted_ubc,3.5,8.0,1.0,0.6085564037392629,0.8672958070746878,0.0
force_anisotropic,wrong_cost_ubc,3.5,8.0,1.0,0.6097018645548296,0.9758475852488203,0.0
isotropic,euclidean_ubc,3.5,8.0,1.0,0.5762808362529328,0.5762808362529328,0.0
isotropic,matching_weighted_ubc,3.5,8.0,1.0,0.5762808362529328,0.5762808362529328,0.0
isotropic,wrong_cost_ubc,3.5,8.0,1.0,0.5762808362529328,0.5762808362529328,0.0
joint_limited,euclidean_ubc,3.5,8.0,1.0,0.5999817937092224,1.0638596403005627,0.0
joint_limited,matching_weighted_ubc,3.5,8.0,1.0,0.6308915887344215,1.0116127050924553,0.0
joint_limited,wrong_cost_ubc,3.5,8.0,1.0,0.6303443486391137,1.2125397097898654,0.0
sparse_contact,euclidean_ubc,3.5,8.0,1.0,0.5706640811005731,0.7923815120459196,0.0
sparse_contact,matching_weighted_ubc,3.5,8.0,1.0,0.6025719172547269,0.7324691558134967,0.0
sparse_contact,wrong_cost_ubc,3.5,8.0,1.0,0.6186102656571008,0.9806180854339972,0.0
