method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
current_only,144,0.7291666666666666,0.006944444444444444,0.009523809523809525,1.0,0.0,0.9904761904761905,0.32803631470024797,-0.5140489272100999,3.0,0.0
estimated_no_guard,144,0.7291666666666666,0.3263888888888889,0.44761904761904764,0.9428571428571428,1.0,0.5523809523809524,0.7231110632065216,-0.00041884237850732677,3.0,0.0
full_UBC,144,0.7291666666666666,0.7291666666666666,1.0,1.0,1.0,0.0,0.5892469333768645,-1.4393248497818994e-16,3.0,0.0
guard_no_projection,144,0.7291666666666666,0.4444444444444444,0.6095238095238096,0.9428571428571428,0.0,0.3904761904761905,1.5,0.006404005838646633,3.0,0.0
no_future_context,144,0.7291666666666666,0.006944444444444444,0.009523809523809525,1.0,0.0,0.9904761904761905,0.32803631470024797,-0.5140489272100999,3.0,0.0
oracle_true_channel,144,0.7291666666666666,0.7291666666666666,1.0,1.0,1.0,0.0,0.758075676087296,0.043645620345212695,3.0,0.0
random_contexts,144,0.7291666666666666,0.0,0.0,0.009523809523809525,1.0,0.047619047619047616,2.1269466208416157,-0.9596979631574096,3.0,0.0
wrong_cost,144,0.7291666666666666,0.7291666666666666,1.0,1.0,1.0,0.0,0.6258850918639758,-2.648674930177159e-16,3.0,0.0
