hidden_null,contradictory,seed,method,trials,future_success,detects_unreachable,false_certificate,mean_norm,nullspace_effort
0,0,0,UBC,6,1.0,0.0,0.0,0.5616706254265615,0.0
0,0,0,current_with_null_effort,6,0.0,0.0,1.0,0.35422841521464316,0.0
0,0,0,gradient_line,6,0.8333333333333334,0.0,0.0,1.31,0.0
0,0,0,sequential_greedy,6,0.6666666666666666,0.0,0.0,0.5895679932051107,0.0
0,0,1,UBC,6,1.0,0.0,0.0,0.6049504579817784,0.0
0,0,1,current_with_null_effort,6,0.0,0.0,1.0,0.2860211309423379,0.0
0,0,1,gradient_line,6,0.8333333333333334,0.0,0.0,1.265,0.0
0,0,1,sequential_greedy,6,0.6666666666666666,0.0,0.0,0.6468979224602415,0.0
0,0,2,UBC,6,1.0,0.0,0.0,0.5614968526296551,0.0
0,0,2,current_with_null_effort,6,0.0,0.0,1.0,0.28222804910312377,0.0
0,0,2,gradient_line,6,0.8333333333333334,0.0,0.0,1.4799999999999998,0.0
0,0,2,sequential_greedy,6,0.8333333333333334,0.0,0.0,0.588091014866931,0.0
0,0,3,UBC,6,1.0,0.0,0.0,0.6326372647410826,0.0
0,0,3,current_with_null_effort,6,0.0,0.0,1.0,0.2710356150248746,0.0
0,0,3,gradient_line,6,0.6666666666666666,0.0,0.0,1.8500000000000003,0.0
0,0,3,sequential_greedy,6,0.8333333333333334,0.0,0.0,0.6852725484973247,0.0
0,0,4,UBC,6,1.0,0.0,0.0,0.7568588810251423,0.0
0,0,4,current_with_null_effort,6,0.0,0.0,1.0,0.5026107774261155,0.0
0,0,4,gradient_line,6,0.3333333333333333,0.0,0.0,2.53,0.0
0,0,4,sequential_greedy,6,0.6666666666666666,0.0,0.0,0.7841626525499327,0.0
0,0,5,UBC,6,1.0,0.0,0.0,0.7724807581513723,0.0
0,0,5,current_with_null_effort,6,0.0,0.0,1.0,0.25305387652634875,0.0
0,0,5,gradient_line,6,0.5,0.0,0.0,1.97,0.0
0,0,5,sequential_greedy,6,0.5,0.0,0.0,0.8311305858217738,0.0
0,1,0,UBC,6,0.0,1.0,0.0,,0.0
0,1,0,current_with_null_effort,6,0.0,0.0,0.0,0.7307098105602844,0.0
0,1,0,gradient_line,6,0.0,1.0,0.0,3.0,0.0
0,1,0,sequential_greedy,6,0.0,1.0,0.0,0.7364765959281251,0.0
