seed,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
0,current_only,12,0.75,0.0,0.0,1.0,0.0,1.0,0.3808067144578456,-0.48883236672746083,3.0,0.0
0,estimated_no_guard,12,0.75,0.3333333333333333,0.4444444444444444,0.7777777777777778,1.0,0.5555555555555556,0.8117995638110068,0.015664917518257784,3.0,0.0
0,full_UBC,12,0.75,0.75,1.0,1.0,1.0,0.0,0.60970292263354,-2.312964634635743e-16,3.0,0.0
0,guard_no_projection,12,0.75,0.4166666666666667,0.5555555555555556,0.8888888888888888,0.0,0.4444444444444444,1.5,-0.016166749185624038,3.0,0.0
0,no_future_context,12,0.75,0.0,0.0,1.0,0.0,1.0,0.3808067144578456,-0.48883236672746083,3.0,0.0
0,oracle_true_channel,12,0.75,0.75,1.0,1.0,1.0,0.0,0.7477414026057555,0.04492133743541535,3.0,0.0
0,random_contexts,12,0.75,0.0,0.0,0.0,1.0,0.0,,-0.9101117175280365,3.0,0.0
0,wrong_cost,12,0.75,0.75,1.0,1.0,1.0,0.0,0.6546058597844977,-6.167905692361981e-17,3.0,0.0
1,current_only,12,0.75,0.0,0.0,1.0,0.0,1.0,0.3005825117113139,-0.6651690086464265,3.0,0.0
1,estimated_no_guard,12,0.75,0.08333333333333333,0.1111111111111111,1.0,1.0,0.8888888888888888,0.6150263973202331,-0.026601527823927204,3.0,0.0
1,full_UBC,12,0.75,0.75,1.0,1.0,1.0,0.0,0.5877151236163238,-2.498001805406602e-16,3.0,0.0
1,guard_no_projection,12,0.75,0.4166666666666667,0.5555555555555556,1.0,0.0,0.4444444444444444,1.5,-0.10041635280592248,3.0,0.0
1,no_future_context,12,0.75,0.0,0.0,1.0,0.0,1.0,0.3005825117113139,-0.6651690086464265,3.0,0.0
1,oracle_true_channel,12,0.75,0.75,1.0,1.0,1.0,0.0,0.7965174269529849,0.04570206580765754,3.0,0.0
1,random_contexts,12,0.75,0.0,0.0,0.0,1.0,0.0,,-0.9932912988089885,3.0,0.0
1,wrong_cost,12,0.75,0.75,1.0,1.0,1.0,0.0,0.5917769523258758,-5.026843139275014e-16,3.0,0.0
2,current_only,12,0.75,0.0,0.0,1.0,0.0,1.0,0.34304669423118167,-0.6831053774100478,3.0,0.0
2,estimated_no_guard,12,0.75,0.16666666666666666,0.2222222222222222,0.8888888888888888,1.0,0.7777777777777778,0.7198929010441436,-0.018396390422169527,3.0,0.0
2,full_UBC,12,0.75,0.75,1.0,1.0,1.0,0.0,0.6895950362316928,-1.0177044392397268e-16,3.0,0.0
