curvature,cap,seed,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
0.0,1.5,0,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3754023557002656,-8.604228440844963e-17,3.0,0.0
0.0,1.5,0,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3754023557002656,-8.604228440844963e-17,3.0,0.0
0.0,1.5,0,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3754023557002656,-8.604228440844963e-17,3.0,0.0
0.0,1.5,1,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3422899965603813,-1.2351231148954867e-16,3.0,0.0
0.0,1.5,1,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3422899965603813,-1.2351231148954867e-16,3.0,0.0
0.0,1.5,1,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3422899965603813,-1.2351231148954867e-16,3.0,0.0
0.0,1.5,2,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.35219878053793485,-1.2906342661267446e-16,3.0,0.0
0.0,1.5,2,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.35219878053793485,-1.2906342661267446e-16,3.0,0.0
0.0,1.5,2,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.35219878053793485,-1.2906342661267446e-16,3.0,0.0
0.0,1.5,3,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3384561034280139,-2.9420910152566647e-16,3.0,0.0
0.0,1.5,3,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3384561034280139,-2.9420910152566647e-16,3.0,0.0
0.0,1.5,3,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3384561034280139,-2.9420910152566647e-16,3.0,0.0
0.0,1.5,4,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3087854920719705,-1.124100812432971e-16,3.0,0.0
0.0,1.5,4,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3087854920719705,-1.124100812432971e-16,3.0,0.0
0.0,1.5,4,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.3087854920719705,-1.124100812432971e-16,3.0,0.0
0.0,1.5,5,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.40164486509033426,-1.0963452368173421e-16,3.0,0.0
0.0,1.5,5,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.40164486509033426,-1.0963452368173421e-16,3.0,0.0
0.0,1.5,5,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.40164486509033426,-1.0963452368173421e-16,3.0,0.0
0.0,3.0,0,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.6140601462955242,-2.9698465908722935e-16,3.0,0.0
0.0,3.0,0,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.6140601462955242,-2.9698465908722935e-16,3.0,0.0
0.0,3.0,0,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.6140601462955242,-2.9698465908722935e-16,3.0,0.0
0.0,3.0,1,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.49711033157201906,-1.637578961322106e-16,3.0,0.0
0.0,3.0,1,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.49711033157201906,-1.637578961322106e-16,3.0,0.0
0.0,3.0,1,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.49711033157201906,-1.637578961322106e-16,3.0,0.0
0.0,3.0,2,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5828220810185563,-2.4702462297909734e-16,3.0,0.0
0.0,3.0,2,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5828220810185563,-2.4702462297909734e-16,3.0,0.0
0.0,3.0,2,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5828220810185563,-2.4702462297909734e-16,3.0,0.0
0.0,3.0,3,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5256317825437814,-1.304512053934559e-16,3.0,0.0
0.0,3.0,3,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5256317825437814,-1.304512053934559e-16,3.0,0.0
0.0,3.0,3,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5256317825437814,-1.304512053934559e-16,3.0,0.0
0.0,3.0,4,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5820950066507984,-1.609823385706477e-16,3.0,0.0
0.0,3.0,4,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5820950066507984,-1.609823385706477e-16,3.0,0.0
0.0,3.0,4,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5820950066507984,-1.609823385706477e-16,3.0,0.0
0.0,3.0,5,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5874468214822555,-1.3183898417423734e-16,3.0,0.0
0.0,3.0,5,linear_ubc,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5874468214822555,-1.3183898417423734e-16,3.0,0.0
0.0,3.0,5,trust_recenter,10,1.0,1.0,1.0,1.0,0.0,0.0,0.5874468214822555,-1.3183898417423734e-16,3.0,0.0
0.0,5.0,0,guarded,10,1.0,1.0,1.0,1.0,0.0,0.0,0.4584095924288751,-2.400857290751901e-16,3.0,0.0
