d,contexts,null_prob,seed,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
2,3,0.0,0,UBC,10,0.9,0.9,1.0,1.0,1.0,0.0,0.46621229230595457,3.0839528461809902e-18,2.0,0.0
2,3,0.0,0,current_only,10,0.9,0.1,0.1111111111111111,1.0,0.0,0.8888888888888888,0.29325790391222917,-0.4037725750583012,2.0,0.0
2,3,0.0,0,gradient_line,10,0.9,0.7,0.7777777777777778,0.8888888888888888,1.0,0.0,1.3533333333333333,-0.09993602485605341,2.0,0.0
2,3,0.0,0,least_squares,10,0.9,0.0,0.0,0.6666666666666666,0.0,1.0,0.4386285985117199,-0.030343071476157606,2.0,0.0
2,3,0.0,0,one_axis_current,10,0.9,0.0,0.0,1.0,0.0,1.0,0.3187771302328304,-0.3446750451396444,2.0,0.0
2,3,0.0,0,oracle_anchor,10,0.9,0.9,1.0,1.0,1.0,0.0,0.7014773497099149,0.08989526386396078,2.0,0.0
2,3,0.0,0,random_search,10,0.9,0.9,1.0,1.0,1.0,0.0,0.7209084726296634,0.13268280036141886,2.0,0.0
2,3,0.0,0,soft_penalty,10,0.9,0.0,0.0,0.3333333333333333,0.0,1.0,0.4287451966041463,-0.026164283835036883,2.0,0.0
2,3,0.0,1,UBC,10,0.9,0.9,1.0,1.0,1.0,0.0,0.5161021411521278,-2.7755575615628914e-17,2.0,0.0
2,3,0.0,1,current_only,10,0.9,0.2,0.2222222222222222,1.0,0.0,0.7777777777777778,0.422848199483059,-0.17256400122210255,2.0,0.0
2,3,0.0,1,gradient_line,10,0.9,0.9,1.0,1.0,1.0,0.0,0.6866666666666668,0.010145336957141895,2.0,0.0
2,3,0.0,1,least_squares,10,0.9,0.0,0.0,0.3333333333333333,0.0,1.0,0.5363689816016419,-0.046466787672998985,2.0,0.0
2,3,0.0,1,one_axis_current,10,0.9,0.2,0.2222222222222222,1.0,0.0,0.7777777777777778,0.47705869886301955,-0.2546849559885731,2.0,0.0
2,3,0.0,1,oracle_anchor,10,0.9,0.9,1.0,1.0,1.0,0.0,0.7695402356829492,0.14533092172149079,2.0,0.0
2,3,0.0,1,random_search,10,0.9,0.9,1.0,1.0,1.0,0.0,0.6498084086707085,0.0847913099440845,2.0,0.0
2,3,0.0,1,soft_penalty,10,0.9,0.0,0.0,0.3333333333333333,0.0,1.0,0.4969413085884946,-0.02177247424947191,2.0,0.0
2,3,0.0,2,UBC,10,0.9,0.9,1.0,1.0,1.0,0.0,0.5259443268170093,-9.25185853854297e-18,2.0,0.0
2,3,0.0,2,current_only,10,0.9,0.2,0.2222222222222222,1.0,0.0,0.7777777777777778,0.3537772859575343,-0.5016741708891619,2.0,0.0
