task,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
force_tactile,UBC,100,1.0,1.0,1.0,1.0,0.0,0.0,0.9104359865737064,-5.78842529463941e-16,4.0,0.0
force_tactile,current_only,100,1.0,0.0,0.0,1.0,0.0,1.0,0.3042840772196928,-0.7622717346858223,4.0,0.0
force_tactile,estimated_guarded,100,1.0,0.59,0.59,0.95,0.0,0.41,1.1075102522459095,0.0038723663051623163,4.0,0.0
force_tactile,margin_penalty,100,1.0,0.0,0.0,0.63,0.0,1.0,0.9534252962454355,-0.3660815797850849,4.0,0.0
force_tactile,weighted_UBC,100,1.0,1.0,1.0,1.0,0.0,0.0,0.929269687404493,-1.8542112290020898e-15,4.0,0.0
peg_compliance,UBC,100,1.0,0.72,0.72,0.72,0.0,0.0,0.8997592741436478,-0.35549281536183763,5.0,0.0
peg_compliance,current_only,100,1.0,0.0,0.0,1.0,0.0,1.0,0.2871270330440167,-0.8037422306653563,5.0,0.0
peg_compliance,estimated_guarded,100,1.0,0.38,0.38,0.68,0.0,0.32,1.001009928660945,-0.37713483575842166,5.0,0.0
peg_compliance,margin_penalty,100,1.0,0.02,0.02,0.67,0.0,0.98,1.3006722014761343,-0.9837452524719064,5.0,0.0
peg_compliance,weighted_UBC,100,1.0,0.72,0.72,0.72,0.0,0.0,0.9188383307014676,-0.3554928153618386,5.0,0.0
planar_push,UBC,100,1.0,1.0,1.0,1.0,0.0,0.0,0.6255042891912588,-3.3584246494910984e-17,2.0,0.0
planar_push,current_only,100,1.0,0.04,0.04,1.0,0.0,0.96,0.37576963387191364,-0.557372215119617,2.0,0.0
planar_push,estimated_guarded,100,1.0,0.89,0.89,0.97,0.0,0.11,0.7667899385648146,0.03446889083687473,2.0,0.0
planar_push,margin_penalty,100,1.0,0.0,0.0,0.52,0.0,1.0,0.5856027713284253,-0.0270209721076652,2.0,0.0
planar_push,weighted_UBC,100,1.0,1.0,1.0,1.0,0.0,0.0,0.6258624168172564,-2.1094237467877975e-17,2.0,0.0
shared_waypoint,UBC,100,1.0,0.97,0.97,0.97,0.0,0.0,0.7237272222099417,-0.027338364278422858,3.0,0.0
shared_waypoint,current_only,100,1.0,0.0,0.0,1.0,0.0,1.0,0.31665253246371683,-0.6927049393994105,3.0,0.0
shared_waypoint,estimated_guarded,100,1.0,0.7,0.7,0.96,0.0,0.27,0.8746977566919469,-0.013043156882153793,3.0,0.0
shared_waypoint,margin_penalty,100,1.0,0.03,0.03,0.76,0.0,0.97,0.7178232193902078,-0.19555692116405285,3.0,0.0
shared_waypoint,weighted_UBC,100,1.0,0.96,0.96,0.96,0.0,0.0,0.7040210086014528,-0.03941469639431403,3.0,0.0
