sigma,scale,samples,guard,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
0.0,1.25,8,0.0,estimated,32,1.0,0.0,0.0,0.5,0.0,1.0,0.49163320814247147,-0.12411045573297168,3.0,0.0
0.0,1.25,8,0.5,guard_0.5,32,1.0,0.0,0.0,0.5,0.0,1.0,0.49163320814247147,-0.12411045573297168,3.0,0.0
0.0,1.25,8,1.0,guard_1.0,32,1.0,0.0,0.0,0.5,0.0,1.0,0.49163320814247147,-0.12411045573297168,3.0,0.0
0.0,1.25,32,0.0,estimated,32,1.0,0.0,0.0,0.5,0.0,1.0,0.46152717331921833,-0.13244736205194213,3.0,0.0
0.0,1.25,32,0.5,guard_0.5,32,1.0,0.0,0.0,0.5,0.0,1.0,0.46152717331921833,-0.13244736205194213,3.0,0.0
0.0,1.25,32,1.0,guard_1.0,32,1.0,0.0,0.0,0.5,0.0,1.0,0.46152717331921833,-0.13244736205194213,3.0,0.0
0.0,1.25,128,0.0,estimated,32,1.0,0.0,0.0,0.375,0.0,1.0,0.4814854430151278,-0.11806906937576317,3.0,0.0
0.0,1.25,128,0.5,guard_0.5,32,1.0,0.0,0.0,0.375,0.0,1.0,0.4814854430151278,-0.11806906937576317,3.0,0.0
0.0,1.25,128,1.0,guard_1.0,32,1.0,0.0,0.0,0.375,0.0,1.0,0.4814854430151278,-0.11806906937576317,3.0,0.0
0.02,0.75,8,0.0,estimated,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7513289683728421,0.07587760749989142,3.0,0.0
0.02,0.75,8,0.5,guard_0.5,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7774165684096717,0.08606789188861605,3.0,0.0
0.02,0.75,8,1.0,guard_1.0,32,1.0,1.0,1.0,1.0,0.0,0.0,0.805526170531795,0.09765881455177944,3.0,0.0
0.02,0.75,32,0.0,estimated,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7559807509070229,0.06344228245738975,3.0,0.0
0.02,0.75,32,0.5,guard_0.5,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7679040654081054,0.06870230780667877,3.0,0.0
0.02,0.75,32,1.0,guard_1.0,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7800498871915684,0.07397954396886502,3.0,0.0
0.02,0.75,128,0.0,estimated,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7317024549428026,0.06938110581943202,3.0,0.0
0.02,0.75,128,0.5,guard_0.5,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7385160627373646,0.07236752292466499,3.0,0.0
0.02,0.75,128,1.0,guard_1.0,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7453951711129416,0.07530913700115269,3.0,0.0
0.02,1.0,8,0.0,estimated,32,1.0,0.28125,0.28125,0.78125,0.0,0.71875,0.5869095954235186,-0.006469552251793251,3.0,0.0
0.02,1.0,8,0.5,guard_0.5,32,1.0,0.75,0.75,1.0,0.0,0.25,0.6032960719676381,0.0034333966102672686,3.0,0.0
0.02,1.0,8,1.0,guard_1.0,32,1.0,0.84375,0.84375,1.0,0.0,0.15625,0.6209448302991922,0.013956838414481337,3.0,0.0
0.02,1.0,32,0.0,estimated,32,1.0,0.25,0.25,0.9375,0.0,0.75,0.6470069980723305,-0.002890200244312422,3.0,0.0
0.02,1.0,32,0.5,guard_0.5,32,1.0,0.5625,0.5625,0.9375,0.0,0.4375,0.6578142953653994,0.0021574917677652655,3.0,0.0
0.02,1.0,32,1.0,guard_1.0,32,1.0,0.84375,0.84375,1.0,0.0,0.15625,0.668721137696194,0.007096677589141556,3.0,0.0
0.02,1.0,128,0.0,estimated,32,1.0,0.21875,0.21875,0.90625,0.0,0.78125,0.6411759550918945,-0.0018160206682063798,3.0,0.0
0.02,1.0,128,0.5,guard_0.5,32,1.0,0.625,0.625,1.0,0.0,0.375,0.6464480834642793,0.0006299616358234612,3.0,0.0
0.02,1.0,128,1.0,guard_1.0,32,1.0,0.84375,0.84375,1.0,0.0,0.15625,0.6518003251081033,0.003122079168097449,3.0,0.0
0.02,1.25,8,0.0,estimated,32,1.0,0.0,0.0,0.53125,0.0,1.0,0.5024146515348339,-0.1291783284566528,3.0,0.0
0.02,1.25,8,0.5,guard_0.5,32,1.0,0.0,0.0,0.59375,0.0,1.0,0.5197882572012997,-0.1168707279778762,3.0,0.0
0.02,1.25,8,1.0,guard_1.0,32,1.0,0.0,0.0,0.59375,0.0,1.0,0.5373986585062538,-0.10556947886671195,3.0,0.0
0.02,1.25,32,0.0,estimated,32,1.0,0.0,0.0,0.5,0.0,1.0,0.429266751779617,-0.12805187574413565,3.0,0.0
0.02,1.25,32,0.5,guard_0.5,32,1.0,0.0,0.0,0.5,0.0,1.0,0.4350604243545503,-0.12293286744625453,3.0,0.0
0.02,1.25,32,1.0,guard_1.0,32,1.0,0.0,0.0,0.5,0.0,1.0,0.44108969995890895,-0.11745394183630047,3.0,0.0
0.02,1.25,128,0.0,estimated,32,1.0,0.0,0.0,0.59375,0.0,1.0,0.477076344398717,-0.15455334190732822,3.0,0.0
0.02,1.25,128,0.5,guard_0.5,32,1.0,0.0,0.0,0.59375,0.0,1.0,0.4801833225298662,-0.1520492059722539,3.0,0.0
0.02,1.25,128,1.0,guard_1.0,32,1.0,0.0,0.0,0.625,0.0,1.0,0.483322905403902,-0.14952041837568564,3.0,0.0
0.05,0.75,8,0.0,estimated,32,1.0,1.0,1.0,1.0,0.0,0.0,0.8725583155751075,0.08306344053012833,3.0,0.0
0.05,0.75,8,0.5,guard_0.5,32,1.0,1.0,1.0,1.0,0.0,0.0,0.9660764512759332,0.11227202866862206,3.0,0.0
0.05,0.75,8,1.0,guard_1.0,32,1.0,1.0,1.0,1.0,0.0,0.0,1.067137063044386,0.1440431785811092,3.0,0.0
0.05,0.75,32,0.0,estimated,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7868983113312225,0.07295993963751962,3.0,0.0
0.05,0.75,32,0.5,guard_0.5,32,1.0,1.0,1.0,1.0,0.0,0.0,0.8199406599945316,0.08687621699376805,3.0,0.0
0.05,0.75,32,1.0,guard_1.0,32,1.0,1.0,1.0,1.0,0.0,0.0,0.8539405350873934,0.10159825240641934,3.0,0.0
0.05,0.75,128,0.0,estimated,32,1.0,1.0,1.0,1.0,0.0,0.0,0.8070006639312177,0.06137451809507896,3.0,0.0
0.05,0.75,128,0.5,guard_0.5,32,1.0,1.0,1.0,1.0,0.0,0.0,0.8242546784169182,0.06844229442140151,3.0,0.0
0.05,0.75,128,1.0,guard_1.0,32,1.0,1.0,1.0,1.0,0.0,0.0,0.8423544149141653,0.07619577452163569,3.0,0.0
0.05,1.0,8,0.0,estimated,32,1.0,0.34375,0.34375,0.875,0.0,0.65625,0.6278427750651445,-0.0004362290078365615,3.0,0.0
0.05,1.0,8,0.5,guard_0.5,32,1.0,0.875,0.875,1.0,0.0,0.125,0.6875587754180101,0.024989551827181405,3.0,0.0
0.05,1.0,8,1.0,guard_1.0,32,1.0,0.96875,0.96875,1.0,0.0,0.03125,0.7498018582221226,0.04916993030448566,3.0,0.0
0.05,1.0,32,0.0,estimated,32,1.0,0.34375,0.34375,0.8125,0.0,0.65625,0.6166360547266805,-0.004823787948763673,3.0,0.0
0.05,1.0,32,0.5,guard_0.5,32,1.0,0.71875,0.71875,0.96875,0.0,0.28125,0.6460057480650051,0.007922979206600334,3.0,0.0
0.05,1.0,32,1.0,guard_1.0,32,1.0,0.875,0.875,0.96875,0.0,0.125,0.6768321876584277,0.020408131026078552,3.0,0.0
0.05,1.0,128,0.0,estimated,32,1.0,0.1875,0.1875,0.75,0.0,0.8125,0.6084934297230299,-0.004836607344235417,3.0,0.0
0.05,1.0,128,0.5,guard_0.5,32,1.0,0.6875,0.6875,0.875,0.0,0.3125,0.6181187789255622,0.0015152631069905867,3.0,0.0
0.05,1.0,128,1.0,guard_1.0,32,1.0,0.875,0.875,0.96875,0.0,0.125,0.6283626294339673,0.008352861992798739,3.0,0.0
0.05,1.25,8,0.0,estimated,32,1.0,0.0,0.0,0.4375,0.0,1.0,0.48308317677615253,-0.11009713767253432,3.0,0.0
0.05,1.25,8,0.5,guard_0.5,32,1.0,0.03125,0.03125,0.6875,0.0,0.96875,0.5273404235724961,-0.07785101756992095,3.0,0.0
0.05,1.25,8,1.0,guard_1.0,32,1.0,0.21875,0.21875,0.84375,0.0,0.78125,0.5765038457416232,-0.04770506793120527,3.0,0.0
0.05,1.25,32,0.0,estimated,32,1.0,0.0,0.0,0.375,0.0,1.0,0.45474734213933704,-0.15558498532339887,3.0,0.0
0.05,1.25,32,0.5,guard_0.5,32,1.0,0.0,0.0,0.46875,0.0,1.0,0.47079755420200287,-0.13906951148538688,3.0,0.0
0.05,1.25,32,1.0,guard_1.0,32,1.0,0.0,0.0,0.5,0.0,1.0,0.4883747472871558,-0.1212526502193624,3.0,0.0
0.05,1.25,128,0.0,estimated,32,1.0,0.0,0.0,0.5,0.0,1.0,0.45300639123819797,-0.13248749104712465,3.0,0.0
0.05,1.25,128,0.5,guard_0.5,32,1.0,0.0,0.0,0.5625,0.0,1.0,0.46300337194452335,-0.12491014723976668,3.0,0.0
0.05,1.25,128,1.0,guard_1.0,32,1.0,0.0,0.0,0.625,0.0,1.0,0.4731804692088704,-0.11666263061562314,3.0,0.0
