sigma,scale,samples,guard,seed,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
0.0,0.75,8,0.0,0,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7660219037660039,0.050862055656293814,3.0,0.0
0.0,0.75,8,0.0,1,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.8273085147420116,0.07387694618103942,3.0,0.0
0.0,0.75,8,0.0,2,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6917522868050392,0.055666311838080226,3.0,0.0
0.0,0.75,8,0.0,3,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.812558406751619,0.08076294295456253,3.0,0.0
0.0,0.75,8,0.5,0,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7660219037660039,0.050862055656293814,3.0,0.0
0.0,0.75,8,0.5,1,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.8273085147420116,0.07387694618103942,3.0,0.0
0.0,0.75,8,0.5,2,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6917522868050392,0.055666311838080226,3.0,0.0
0.0,0.75,8,0.5,3,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.812558406751619,0.08076294295456253,3.0,0.0
0.0,0.75,8,1.0,0,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7660219037660039,0.050862055656293814,3.0,0.0
0.0,0.75,8,1.0,1,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.8273085147420116,0.07387694618103942,3.0,0.0
0.0,0.75,8,1.0,2,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6917522868050392,0.055666311838080226,3.0,0.0
0.0,0.75,8,1.0,3,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.812558406751619,0.08076294295456253,3.0,0.0
0.0,0.75,32,0.0,0,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6985873940955167,0.06796955427821857,3.0,0.0
0.0,0.75,32,0.0,1,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.9173168526123083,0.06677143457474516,3.0,0.0
0.0,0.75,32,0.0,2,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.5984168979354626,0.058188151292761205,3.0,0.0
0.0,0.75,32,0.0,3,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7346004772485422,0.07168753643024793,3.0,0.0
0.0,0.75,32,0.5,0,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6985873940955167,0.06796955427821857,3.0,0.0
0.0,0.75,32,0.5,1,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.9173168526123083,0.06677143457474516,3.0,0.0
0.0,0.75,32,0.5,2,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.5984168979354626,0.058188151292761205,3.0,0.0
0.0,0.75,32,0.5,3,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7346004772485422,0.07168753643024793,3.0,0.0
0.0,0.75,32,1.0,0,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6985873940955167,0.06796955427821857,3.0,0.0
0.0,0.75,32,1.0,1,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.9173168526123083,0.06677143457474516,3.0,0.0
0.0,0.75,32,1.0,2,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.5984168979354626,0.058188151292761205,3.0,0.0
0.0,0.75,32,1.0,3,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7346004772485422,0.07168753643024793,3.0,0.0
0.0,0.75,128,0.0,0,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7130357908331616,0.058641450398047176,3.0,0.0
0.0,0.75,128,0.0,1,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6732934507986701,0.06524654776828698,3.0,0.0
0.0,0.75,128,0.0,2,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7107152895436719,0.0715409980592531,3.0,0.0
0.0,0.75,128,0.0,3,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.8999563718907151,0.0742805311980271,3.0,0.0
0.0,0.75,128,0.5,0,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7130357908331616,0.058641450398047176,3.0,0.0
0.0,0.75,128,0.5,1,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6732934507986701,0.06524654776828698,3.0,0.0
0.0,0.75,128,0.5,2,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7107152895436719,0.0715409980592531,3.0,0.0
0.0,0.75,128,0.5,3,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.8999563718907151,0.0742805311980271,3.0,0.0
0.0,0.75,128,1.0,0,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7130357908331616,0.058641450398047176,3.0,0.0
0.0,0.75,128,1.0,1,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6732934507986701,0.06524654776828698,3.0,0.0
0.0,0.75,128,1.0,2,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.7107152895436719,0.0715409980592531,3.0,0.0
0.0,0.75,128,1.0,3,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.8999563718907151,0.0742805311980271,3.0,0.0
0.0,1.0,8,0.0,0,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6879876394592311,-5.898059818321144e-17,3.0,0.0
0.0,1.0,8,0.0,1,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.448812673451597,-1.5612511283791264e-17,3.0,0.0
0.0,1.0,8,0.0,2,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.5509503579364066,-2.0469737016526324e-16,3.0,0.0
0.0,1.0,8,0.0,3,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6383868965348298,-7.632783294297951e-17,3.0,0.0
0.0,1.0,8,0.5,0,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6879876394592311,-5.898059818321144e-17,3.0,0.0
0.0,1.0,8,0.5,1,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.448812673451597,-1.5612511283791264e-17,3.0,0.0
0.0,1.0,8,0.5,2,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.5509503579364066,-2.0469737016526324e-16,3.0,0.0
0.0,1.0,8,0.5,3,guard_0.5,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6383868965348298,-7.632783294297951e-17,3.0,0.0
0.0,1.0,8,1.0,0,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6879876394592311,-5.898059818321144e-17,3.0,0.0
0.0,1.0,8,1.0,1,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.448812673451597,-1.5612511283791264e-17,3.0,0.0
0.0,1.0,8,1.0,2,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.5509503579364066,-2.0469737016526324e-16,3.0,0.0
0.0,1.0,8,1.0,3,guard_1.0,8,1.0,1.0,1.0,1.0,0.0,0.0,0.6383868965348298,-7.632783294297951e-17,3.0,0.0
0.0,1.0,32,0.0,0,estimated,8,1.0,1.0,1.0,1.0,0.0,0.0,0.5430804590552445,-2.0816681711721685e-17,3.0,0.0
