method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
UBC,168,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.0,0.6364106081949119,-1.9679474099692445e-16,3.0,0.0
coactive_direction,168,0.8571428571428571,0.14285714285714285,0.16666666666666666,0.9722222222222222,0.0,0.8333333333333334,0.9721948600390358,-0.7981561826045539,3.0,0.0
margin_penalty,168,0.8571428571428571,0.005952380952380952,0.006944444444444444,0.7013888888888888,0.0,0.9930555555555556,0.6207211088479109,-0.09692018405609298,3.0,0.0
reward_gradient,168,0.8571428571428571,0.49404761904761907,0.5763888888888888,0.9444444444444444,1.0,0.0,1.8491666666666664,-0.3526000992452602,3.0,0.0
robust_ubc,168,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.0,0.9343364815243953,0.07768059454429194,3.0,0.0
safe_large_guard,168,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.0,1.2128038481475383,0.19999999999999954,3.0,0.0
sequential_greedy,168,0.8571428571428571,0.5833333333333334,0.6805555555555556,0.9513888888888888,1.0,0.0,0.6627640583306526,-0.0018161240451468415,3.0,0.0
