d,contexts,null_prob,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
2,3,0.0,UBC,60,0.8166666666666667,0.8166666666666667,1.0,1.0,1.0,0.0,0.5023108406400255,-1.6143549082559674e-17,2.0,0.0
2,3,0.0,current_only,60,0.8166666666666667,0.08333333333333333,0.10204081632653061,1.0,0.0,0.8979591836734694,0.3397314620864906,-0.3571311468173148,2.0,0.0
2,3,0.0,gradient_line,60,0.8166666666666667,0.6333333333333333,0.7755102040816326,0.8775510204081632,1.0,0.0,1.2746938775510206,-0.19375572031138524,2.0,0.0
2,3,0.0,least_squares,60,0.8166666666666667,0.0,0.0,0.46938775510204084,0.0,1.0,0.49253472087673866,-0.03160245301856899,2.0,0.0
2,3,0.0,one_axis_current,60,0.8166666666666667,0.1,0.12244897959183673,1.0,0.0,0.8775510204081632,0.3846739084895676,-0.3336035752143701,2.0,0.0
2,3,0.0,oracle_anchor,60,0.8166666666666667,0.8166666666666667,1.0,1.0,1.0,0.0,0.734729471953306,0.09926766291487651,2.0,0.0
2,3,0.0,random_search,60,0.8166666666666667,0.8166666666666667,1.0,1.0,1.0,0.0,0.7590022840759977,0.10553769931572765,2.0,0.0
2,3,0.0,soft_penalty,60,0.8166666666666667,0.0,0.0,0.2857142857142857,0.0,1.0,0.4647563795757396,-0.027571466859745496,2.0,0.0
2,3,0.5,UBC,60,0.85,0.85,1.0,1.0,1.0,0.0,0.5782047581762297,-1.2789333862103518e-17,2.0,0.0
2,3,0.5,current_only,60,0.85,0.18333333333333332,0.21568627450980393,1.0,0.0,0.7843137254901961,0.45803884658967703,-0.18078735588531494,2.0,0.0
2,3,0.5,gradient_line,60,0.85,0.7333333333333333,0.8627450980392157,0.9411764705882353,1.0,0.0,0.9823529411764708,-0.15044699541043566,2.0,0.0
2,3,0.5,least_squares,60,0.85,0.0,0.0,0.47058823529411764,0.0,1.0,0.8478022918024297,-0.036571531589340275,2.0,0.0
2,3,0.5,one_axis_current,60,0.85,0.3,0.35294117647058826,1.0,0.0,0.6470588235294118,0.5284128465200516,-0.21465747420327233,2.0,0.0
2,3,0.5,oracle_anchor,60,0.85,0.85,1.0,1.0,1.0,0.0,0.8120646763215406,0.07648940648175802,2.0,0.0
2,3,0.5,random_search,60,0.85,0.85,1.0,1.0,1.0,0.0,0.7497144621917705,0.06714885652827932,2.0,0.0
2,3,0.5,soft_penalty,60,0.85,0.0,0.0,0.23529411764705882,0.0,1.0,0.4513995899248795,-0.041319320309722914,2.0,0.0
2,12,0.0,UBC,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,0.6520635116130357,-1.175182882448969e-16,2.0,0.0
2,12,0.0,current_only,60,0.7833333333333333,0.0,0.0,1.0,0.0,1.0,0.35666385649768456,-0.7148875631753806,2.0,0.0
2,12,0.0,gradient_line,60,0.7833333333333333,0.5333333333333333,0.6808510638297872,0.9574468085106383,1.0,0.0,1.7048936170212765,-0.24639310929853261,2.0,0.0
2,12,0.0,least_squares,60,0.7833333333333333,0.0,0.0,0.6170212765957447,0.0,1.0,0.5292125149305748,-0.15715540902454983,2.0,0.0
2,12,0.0,one_axis_current,60,0.7833333333333333,0.0,0.0,1.0,0.0,1.0,0.42009419896849454,-0.7388772442140603,2.0,0.0
2,12,0.0,oracle_anchor,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,0.7841664793249873,0.05288726583529275,2.0,0.0
2,12,0.0,random_search,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,1.0398085839596025,0.08861105216782982,2.0,0.0
2,12,0.0,soft_penalty,60,0.7833333333333333,0.03333333333333333,0.0425531914893617,0.8085106382978723,0.0,0.9574468085106383,0.6585232944491698,-0.019673572569388433,2.0,0.0
2,12,0.5,UBC,60,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,0.0,0.657669323973246,-1.1758271124439158e-16,2.0,0.0
2,12,0.5,current_only,60,0.9166666666666666,0.05,0.05454545454545454,1.0,0.0,0.9454545454545454,0.42406202333483245,-0.41769353373560403,2.0,0.0
2,12,0.5,gradient_line,60,0.9166666666666666,0.75,0.8181818181818182,0.9818181818181818,1.0,0.0,1.256181818181818,-0.12939309321520476,2.0,0.0
2,12,0.5,least_squares,60,0.9166666666666666,0.0,0.0,0.5636363636363636,0.0,1.0,0.6962216892468768,-0.11786706915895018,2.0,0.0
2,12,0.5,one_axis_current,60,0.9166666666666666,0.03333333333333333,0.03636363636363636,1.0,0.0,0.9636363636363636,0.48058725978489597,-0.4196661507620765,2.0,0.0
2,12,0.5,oracle_anchor,60,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,0.0,0.7939815039983406,0.042655118311337836,2.0,0.0
2,12,0.5,random_search,60,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,0.0,0.8849630506067901,0.049768966934603066,2.0,0.0
2,12,0.5,soft_penalty,60,0.9166666666666666,0.0,0.0,0.7454545454545455,0.0,1.0,0.583968325562797,-0.03250678557172696,2.0,0.0
2,24,0.0,UBC,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,0.7282502223928539,-6.171186493262173e-17,2.0,0.0
2,24,0.0,current_only,60,0.7833333333333333,0.0,0.0,1.0,0.0,1.0,0.4369303710303187,-0.7864843060509005,2.0,0.0
2,24,0.0,gradient_line,60,0.7833333333333333,0.5,0.6382978723404256,0.9787234042553191,1.0,0.0,1.7553191489361701,-0.18265414367675492,2.0,0.0
2,24,0.0,least_squares,60,0.7833333333333333,0.0,0.0,0.3617021276595745,0.0,1.0,0.5653345943951994,-0.22356764842941704,2.0,0.0
2,24,0.0,one_axis_current,60,0.7833333333333333,0.0,0.0,1.0,0.0,1.0,0.49165794368746873,-0.8952151608282793,2.0,0.0
2,24,0.0,oracle_anchor,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,0.8553213370118977,0.04216245464932941,2.0,0.0
2,24,0.0,random_search,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,1.134599151736424,0.06807711072144425,2.0,0.0
2,24,0.0,soft_penalty,60,0.7833333333333333,0.016666666666666666,0.02127659574468085,0.8085106382978723,0.0,0.9787234042553191,0.9833298842044316,-0.6087930207295671,2.0,0.0
2,24,0.5,UBC,60,0.6833333333333333,0.6833333333333333,1.0,1.0,1.0,0.0,0.6568797261331051,1.1508409401602232e-17,2.0,0.0
2,24,0.5,current_only,60,0.6833333333333333,0.0,0.0,1.0,0.0,1.0,0.3780648346851044,-0.5296785850190135,2.0,0.0
2,24,0.5,gradient_line,60,0.6833333333333333,0.55,0.8048780487804879,1.0,1.0,0.0,1.3229268292682927,-0.08824977622704196,2.0,0.0
2,24,0.5,least_squares,60,0.6833333333333333,0.0,0.0,0.6341463414634146,0.0,1.0,0.5599120002694994,-0.15831873905288657,2.0,0.0
2,24,0.5,one_axis_current,60,0.6833333333333333,0.0,0.0,1.0,0.0,1.0,0.4137893788511618,-0.5752462288643339,2.0,0.0
2,24,0.5,oracle_anchor,60,0.6833333333333333,0.6833333333333333,1.0,1.0,1.0,0.0,0.7831008488846742,0.036732755376105035,2.0,0.0
2,24,0.5,random_search,60,0.6833333333333333,0.6833333333333333,1.0,1.0,1.0,0.0,0.9266647347236693,0.05003002401072898,2.0,0.0
2,24,0.5,soft_penalty,60,0.6833333333333333,0.0,0.0,0.8536585365853658,0.0,1.0,0.6060913239293478,-0.025760876826334676,2.0,0.0
3,3,0.0,UBC,60,0.7166666666666667,0.7166666666666667,1.0,1.0,1.0,0.0,0.4826440490233112,-9.423986139260049e-17,2.716666666666667,0.2833333333333333
3,3,0.0,current_only,60,0.7166666666666667,0.016666666666666666,0.023255813953488372,1.0,0.0,0.9767441860465116,0.282492232897324,-0.4311267517471665,2.716666666666667,0.2833333333333333
3,3,0.0,gradient_line,60,0.7166666666666667,0.5666666666666667,0.7906976744186046,0.9767441860465116,1.0,0.0,1.247441860465116,-0.28409128602438816,2.716666666666667,0.2833333333333333
3,3,0.0,least_squares,60,0.7166666666666667,0.7,0.9767441860465116,0.9767441860465116,0.0,0.023255813953488372,0.6565391491838533,-0.006321427654114742,2.716666666666667,0.2833333333333333
3,3,0.0,one_axis_current,60,0.7166666666666667,0.0,0.0,1.0,0.0,1.0,0.3434478996005841,-0.5161219558468967,2.716666666666667,0.2833333333333333
3,3,0.0,oracle_anchor,60,0.7166666666666667,0.7166666666666667,1.0,1.0,1.0,0.0,0.8102386610214314,0.09477258526334728,2.716666666666667,0.2833333333333333
3,3,0.0,random_search,60,0.7166666666666667,0.7166666666666667,1.0,1.0,1.0,0.0,1.050420726325478,0.21386394389055194,2.716666666666667,0.2833333333333333
3,3,0.0,soft_penalty,60,0.7166666666666667,0.0,0.0,0.2558139534883721,0.0,1.0,0.46002811064588045,-0.022491511323483517,2.716666666666667,0.2833333333333333
3,3,0.5,UBC,60,0.6833333333333333,0.6833333333333333,1.0,1.0,1.0,0.0,0.5080797840643777,-4.8403016012621154e-17,2.683333333333333,0.31666666666666665
3,3,0.5,current_only,60,0.6833333333333333,0.08333333333333333,0.12195121951219512,1.0,0.0,0.8780487804878049,0.31252326213043236,-0.3329279656266698,2.683333333333333,0.31666666666666665
3,3,0.5,gradient_line,60,0.6833333333333333,0.5333333333333333,0.7804878048780488,0.926829268292683,1.0,0.0,1.1868292682926829,-0.43132040263780674,2.683333333333333,0.31666666666666665
3,3,0.5,least_squares,60,0.6833333333333333,0.5666666666666667,0.8292682926829268,0.8292682926829268,0.0,0.17073170731707318,1.2051583044942502,-0.02500204410963047,2.683333333333333,0.31666666666666665
3,3,0.5,one_axis_current,60,0.6833333333333333,0.08333333333333333,0.12195121951219512,1.0,0.0,0.8780487804878049,0.3866453123382532,-0.3392503473708323,2.683333333333333,0.31666666666666665
3,3,0.5,oracle_anchor,60,0.6833333333333333,0.6833333333333333,1.0,1.0,1.0,0.0,0.793525878051459,0.08133765208485684,2.683333333333333,0.31666666666666665
3,3,0.5,random_search,60,0.6833333333333333,0.6833333333333333,1.0,1.0,1.0,0.0,0.9886367966519547,0.15411844142453454,2.683333333333333,0.31666666666666665
3,3,0.5,soft_penalty,60,0.6833333333333333,0.0,0.0,0.36585365853658536,0.0,1.0,0.4451025822983633,-0.032054441104546805,2.683333333333333,0.31666666666666665
3,12,0.0,UBC,60,0.85,0.85,1.0,1.0,1.0,0.0,0.6449830055109597,-2.6503853578061335e-16,3.0,0.0
3,12,0.0,current_only,60,0.85,0.0,0.0,1.0,0.0,1.0,0.26917549941974167,-0.9140502232854203,3.0,0.0
3,12,0.0,gradient_line,60,0.85,0.45,0.5294117647058824,0.9215686274509803,1.0,0.0,2.0123529411764705,-0.4027201513959402,3.0,0.0
3,12,0.0,least_squares,60,0.85,0.0,0.0,0.6274509803921569,0.0,1.0,0.5366018049386302,-0.1580528031228772,3.0,0.0
3,12,0.0,one_axis_current,60,0.85,0.0,0.0,1.0,0.0,1.0,0.3335972518512469,-0.9760162129695232,3.0,0.0
3,12,0.0,oracle_anchor,60,0.85,0.85,1.0,1.0,1.0,0.0,0.801415775553281,0.05554749381484327,3.0,0.0
3,12,0.0,random_search,60,0.85,0.8333333333333334,0.9803921568627451,0.9803921568627451,1.0,0.0,1.5469033186074548,0.0957341759411218,3.0,0.0
3,12,0.0,soft_penalty,60,0.85,0.03333333333333333,0.0392156862745098,0.8235294117647058,0.0,0.9607843137254902,0.7475509657221265,-0.24968417203620896,3.0,0.0
3,12,0.5,UBC,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,0.5931193668116146,-1.4409277553645649e-16,3.0,0.0
3,12,0.5,current_only,60,0.7833333333333333,0.0,0.0,1.0,0.0,1.0,0.26078086477908086,-0.551326558935638,3.0,0.0
3,12,0.5,gradient_line,60,0.7833333333333333,0.55,0.7021276595744681,0.9787234042553191,1.0,0.0,1.5217021276595744,-0.23810464925254232,3.0,0.0
3,12,0.5,least_squares,60,0.7833333333333333,0.0,0.0,0.723404255319149,0.0,1.0,0.6239676578995084,-0.1067358236802778,3.0,0.0
3,12,0.5,one_axis_current,60,0.7833333333333333,0.0,0.0,1.0,0.0,1.0,0.3109936109165267,-0.6218514723095241,3.0,0.0
3,12,0.5,oracle_anchor,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,0.7492336141954968,0.04367293200155999,3.0,0.0
3,12,0.5,random_search,60,0.7833333333333333,0.7666666666666667,0.9787234042553191,0.9787234042553191,1.0,0.0,1.3369909636049482,0.1119282705667708,3.0,0.0
3,12,0.5,soft_penalty,60,0.7833333333333333,0.0,0.0,0.851063829787234,0.0,1.0,0.5896517676295623,-0.10610620429007056,3.0,0.0
3,24,0.0,UBC,60,0.8166666666666667,0.8166666666666667,1.0,1.0,1.0,0.0,0.6086424128401013,-2.2714256779320807e-16,3.0,0.0
3,24,0.0,current_only,60,0.8166666666666667,0.0,0.0,1.0,0.0,1.0,0.24164544549642325,-0.929499465310692,3.0,0.0
3,24,0.0,gradient_line,60,0.8166666666666667,0.4666666666666667,0.5714285714285714,0.9183673469387755,1.0,0.0,1.9799999999999995,-0.3192814019058849,3.0,0.0
3,24,0.0,least_squares,60,0.8166666666666667,0.0,0.0,0.46938775510204084,0.0,1.0,0.4793470949778614,-0.181952862627024,3.0,0.0
3,24,0.0,one_axis_current,60,0.8166666666666667,0.0,0.0,1.0,0.0,1.0,0.3031530345432976,-0.9765835135995634,3.0,0.0
3,24,0.0,oracle_anchor,60,0.8166666666666667,0.8166666666666667,1.0,1.0,1.0,0.0,0.7270148249568513,0.04292433094137014,3.0,0.0
3,24,0.0,random_search,60,0.8166666666666667,0.7666666666666667,0.9387755102040817,0.9387755102040817,1.0,0.0,1.6968968423931603,0.03333769606588232,3.0,0.0
3,24,0.0,soft_penalty,60,0.8166666666666667,0.08333333333333333,0.10204081632653061,0.7755102040816326,0.0,0.8979591836734694,1.3580213563107992,-1.4935113465027388,3.0,0.0
3,24,0.5,UBC,60,0.7833333333333333,0.7833333333333333,1.0,1.0,1.0,0.0,0.6570767298984818,-1.8484032271684788e-16,3.0,0.0
3,24,0.5,current_only,60,0.7833333333333333,0.0,0.0,1.0,0.0,1.0,0.30395715909680415,-0.7792917175664912,3.0,0.0
